# Best-fit model.
# Fit done at fixed cosmology (and biases):
# OmM=0.303377, H0=69.741410, lnA=2.853178.
#      ell        C_ell^gg        C_ell^kg
       253     1.43439e-05     1.42125e-07
       254     1.43073e-05     1.41349e-07
       255     1.42713e-05     1.40585e-07
       256     1.42357e-05     1.39832e-07
       257     1.42006e-05     1.39089e-07
       258     1.41660e-05     1.38357e-07
       259     1.41318e-05     1.37636e-07
       260     1.40980e-05     1.36924e-07
       261     1.40646e-05     1.36221e-07
       262     1.40315e-05     1.35529e-07
       263     1.39989e-05     1.34845e-07
       264     1.39666e-05     1.34170e-07
       265     1.39346e-05     1.33503e-07
       266     1.39030e-05     1.32845e-07
       267     1.38716e-05     1.32195e-07
       268     1.38405e-05     1.31552e-07
       269     1.38097e-05     1.30917e-07
       270     1.37792e-05     1.30289e-07
       271     1.37489e-05     1.29668e-07
       272     1.37188e-05     1.29053e-07
       273     1.36889e-05     1.28445e-07
       274     1.36593e-05     1.27844e-07
       275     1.36298e-05     1.27248e-07
       276     1.36006e-05     1.26659e-07
       277     1.35716e-05     1.26076e-07
       278     1.35428e-05     1.25498e-07
       279     1.35142e-05     1.24926e-07
       280     1.34857e-05     1.24359e-07
       281     1.34575e-05     1.23798e-07
       282     1.34294e-05     1.23242e-07
       283     1.34016e-05     1.22691e-07
       284     1.33739e-05     1.22145e-07
       285     1.33463e-05     1.21604e-07
       286     1.33190e-05     1.21067e-07
       287     1.32918e-05     1.20535e-07
       288     1.32647e-05     1.20007e-07
       289     1.32379e-05     1.19483e-07
       290     1.32111e-05     1.18963e-07
       291     1.31845e-05     1.18447e-07
       292     1.31581e-05     1.17934e-07
       293     1.31317e-05     1.17425e-07
       294     1.31056e-05     1.16920e-07
       295     1.30795e-05     1.16418e-07
       296     1.30536e-05     1.15920e-07
       297     1.30279e-05     1.15425e-07
       298     1.30023e-05     1.14934e-07
       299     1.29768e-05     1.14446e-07
       300     1.29515e-05     1.13961e-07
       301     1.29263e-05     1.13480e-07
       302     1.29013e-05     1.13002e-07
       303     1.28764e-05     1.12527e-07
       304     1.28517e-05     1.12056e-07
       305     1.28271e-05     1.11587e-07
       306     1.28027e-05     1.11122e-07
       307     1.27784e-05     1.10660e-07
       308     1.27543e-05     1.10201e-07
       309     1.27304e-05     1.09745e-07
       310     1.27066e-05     1.09293e-07
       311     1.26829e-05     1.08843e-07
       312     1.26595e-05     1.08396e-07
       313     1.26362e-05     1.07952e-07
       314     1.26130e-05     1.07511e-07
       315     1.25901e-05     1.07073e-07
       316     1.25672e-05     1.06638e-07
       317     1.25446e-05     1.06206e-07
       318     1.25221e-05     1.05776e-07
       319     1.24998e-05     1.05349e-07
