# Smooth curve fit to spectrum data.
#        ell        C_l_a        C_l_x
  3.9200e+02   9.3327e-06   7.3140e-08
  3.9300e+02   9.3215e-06   7.2919e-08
  3.9400e+02   9.3104e-06   7.2700e-08
  3.9500e+02   9.2994e-06   7.2482e-08
  3.9600e+02   9.2884e-06   7.2266e-08
  3.9700e+02   9.2775e-06   7.2052e-08
  3.9800e+02   9.2666e-06   7.1839e-08
  3.9900e+02   9.2559e-06   7.1628e-08
  4.0000e+02   9.2452e-06   7.1418e-08
  4.0100e+02   9.2345e-06   7.1210e-08
  4.0200e+02   9.2239e-06   7.1004e-08
  4.0300e+02   9.2134e-06   7.0799e-08
  4.0400e+02   9.2030e-06   7.0596e-08
  4.0500e+02   9.1926e-06   7.0394e-08
  4.0600e+02   9.1822e-06   7.0194e-08
  4.0700e+02   9.1720e-06   6.9995e-08
  4.0800e+02   9.1618e-06   6.9798e-08
  4.0900e+02   9.1516e-06   6.9602e-08
  4.1000e+02   9.1416e-06   6.9407e-08
  4.1100e+02   9.1315e-06   6.9214e-08
  4.1200e+02   9.1216e-06   6.9023e-08
  4.1300e+02   9.1117e-06   6.8833e-08
  4.1400e+02   9.1018e-06   6.8644e-08
  4.1500e+02   9.0920e-06   6.8457e-08
  4.1600e+02   9.0823e-06   6.8271e-08
  4.1700e+02   9.0727e-06   6.8087e-08
  4.1800e+02   9.0630e-06   6.7903e-08
  4.1900e+02   9.0535e-06   6.7721e-08
  4.2000e+02   9.0440e-06   6.7541e-08
  4.2100e+02   9.0345e-06   6.7362e-08
  4.2200e+02   9.0252e-06   6.7184e-08
  4.2300e+02   9.0158e-06   6.7007e-08
  4.2400e+02   9.0065e-06   6.6832e-08
  4.2500e+02   8.9973e-06   6.6658e-08
  4.2600e+02   8.9881e-06   6.6485e-08
  4.2700e+02   8.9790e-06   6.6314e-08
  4.2800e+02   8.9700e-06   6.6144e-08
  4.2900e+02   8.9609e-06   6.5975e-08
  4.3000e+02   8.9520e-06   6.5807e-08
  4.3100e+02   8.9431e-06   6.5640e-08
  4.3200e+02   8.9342e-06   6.5475e-08
  4.3300e+02   8.9254e-06   6.5311e-08
  4.3400e+02   8.9166e-06   6.5148e-08
  4.3500e+02   8.9079e-06   6.4986e-08
  4.3600e+02   8.8993e-06   6.4825e-08
  4.3700e+02   8.8907e-06   6.4666e-08
  4.3800e+02   8.8821e-06   6.4508e-08
  4.3900e+02   8.8736e-06   6.4350e-08
  4.4000e+02   8.8651e-06   6.4194e-08
  4.4100e+02   8.8567e-06   6.4039e-08
  4.4200e+02   8.8483e-06   6.3886e-08
  4.4300e+02   8.8400e-06   6.3733e-08
  4.4400e+02   8.8317e-06   6.3581e-08
  4.4500e+02   8.8235e-06   6.3431e-08
  4.4600e+02   8.8153e-06   6.3281e-08
  4.4700e+02   8.8072e-06   6.3133e-08
  4.4800e+02   8.7991e-06   6.2985e-08
  4.4900e+02   8.7910e-06   6.2839e-08
  4.5000e+02   8.7830e-06   6.2694e-08
  4.5100e+02   8.7751e-06   6.2550e-08
  4.5200e+02   8.7671e-06   6.2406e-08
  4.5300e+02   8.7593e-06   6.2264e-08
  4.5400e+02   8.7514e-06   6.2123e-08
  4.5500e+02   8.7436e-06   6.1983e-08
  4.5600e+02   8.7359e-06   6.1844e-08
  4.5700e+02   8.7282e-06   6.1705e-08
  4.5800e+02   8.7205e-06   6.1568e-08
  4.5900e+02   8.7129e-06   6.1432e-08
  4.6000e+02   8.7053e-06   6.1296e-08
  4.6100e+02   8.6978e-06   6.1162e-08
  4.6200e+02   8.6903e-06   6.1029e-08
  4.6300e+02   8.6828e-06   6.0896e-08
  4.6400e+02   8.6754e-06   6.0765e-08
  4.6500e+02   8.6680e-06   6.0634e-08
  4.6600e+02   8.6607e-06   6.0504e-08
  4.6700e+02   8.6534e-06   6.0375e-08
  4.6800e+02   8.6462e-06   6.0248e-08
  4.6900e+02   8.6389e-06   6.0121e-08
  4.7000e+02   8.6317e-06   5.9994e-08
  4.7100e+02   8.6246e-06   5.9869e-08
  4.7200e+02   8.6175e-06   5.9745e-08
